log_exposure,red_status_a_density,green_status_a_density,blue_status_a_density,red_evidence_class,green_evidence_class,blue_evidence_class
-3.000000000,0.044420297,0.048353738,0.103584461,explicit_dmin_hold_before_drawn_path,explicit_dmin_hold_before_drawn_path,explicit_dmin_hold_before_drawn_path
-1.007330615,0.044420297,0.048353738,0.103584461,explicit_dmin_hold_before_drawn_path,explicit_dmin_hold_before_drawn_path,vector_path_node_or_interpolation
-0.855599896,0.044420297,0.048353738,0.111451344,explicit_dmin_hold_before_drawn_path,explicit_dmin_hold_before_drawn_path,vector_path_node_or_interpolation
-0.706146439,0.044420297,0.048353738,0.119318227,explicit_dmin_hold_before_drawn_path,vector_path_node_or_interpolation,vector_path_node_or_interpolation
-0.632493277,0.044420297,0.052228983,0.123316684,explicit_dmin_hold_before_drawn_path,vector_path_node_or_interpolation,vector_path_node_or_interpolation
-0.556627917,0.044420297,0.056220622,0.127217618,explicit_dmin_hold_before_drawn_path,vector_path_node_or_interpolation,vector_path_node_or_interpolation
-0.482974755,0.044420297,0.060096710,0.135149517,explicit_dmin_hold_before_drawn_path,vector_path_node_or_interpolation,vector_path_node_or_interpolation
-0.407141928,0.044420297,0.064087505,0.146949842,vector_path_node_or_interpolation,vector_path_node_or_interpolation,vector_path_node_or_interpolation
-0.333521298,0.046357063,0.068085962,0.162748624,vector_path_node_or_interpolation,vector_path_node_or_interpolation,vector_path_node_or_interpolation
-0.295621150,0.047354117,0.070050154,0.174581457,vector_path_node_or_interpolation,vector_path_node_or_interpolation,vector_path_node_or_interpolation
-0.257623406,0.048353738,0.072019404,0.186381782,vector_path_node_or_interpolation,vector_path_node_or_interpolation,vector_path_node_or_interpolation
-0.219723258,0.049336255,0.075951158,0.202180564,vector_path_node_or_interpolation,vector_path_node_or_interpolation,vector_path_node_or_interpolation
-0.181790579,0.050319616,0.079886287,0.218011854,vector_path_node_or_interpolation,vector_path_node_or_interpolation,vector_path_node_or_interpolation
-0.143825367,0.051303820,0.085805240,0.241612504,vector_path_node_or_interpolation,vector_path_node_or_interpolation,vector_path_node_or_interpolation
-0.105892687,0.052287180,0.091719120,0.265310677,vector_path_node_or_interpolation,vector_path_node_or_interpolation,vector_path_node_or_interpolation
-0.067960007,0.054299494,0.099618511,0.292844769,vector_path_node_or_interpolation,vector_path_node_or_interpolation,vector_path_node_or_interpolation
-0.030027327,0.056311808,0.107517902,0.324474841,vector_path_node_or_interpolation,vector_path_node_or_interpolation,vector_path_node_or_interpolation
0.005660623,0.058205039,0.115384785,0.363906781,vector_path_node_or_interpolation,vector_path_node_or_interpolation,vector_path_node_or_interpolation
0.043625835,0.060219079,0.127217618,0.403338721,vector_path_node_or_interpolation,vector_path_node_or_interpolation,vector_path_node_or_interpolation
0.081525982,0.064268977,0.143016400,0.446704103,vector_path_node_or_interpolation,vector_path_node_or_interpolation,vector_path_node_or_interpolation
0.117246465,0.068085962,0.158815183,0.498066399,vector_path_node_or_interpolation,vector_path_node_or_interpolation,vector_path_node_or_interpolation
0.155179145,0.072019404,0.178514899,0.549331171,vector_path_node_or_interpolation,vector_path_node_or_interpolation,vector_path_node_or_interpolation
0.193111824,0.075952846,0.202180564,0.612428777,vector_path_node_or_interpolation,vector_path_node_or_interpolation,vector_path_node_or_interpolation
