wavelength_nm,cyan_relative_density,magenta_relative_density,yellow_relative_density,cyan_evidence_class,magenta_evidence_class,yellow_evidence_class
380.0,0.286587376,0.039078036,0.204724522,vector_path_interpolation,vector_path_interpolation,vector_path_interpolation
400.0,0.284707284,0.059712510,0.387629685,vector_path_interpolation,vector_path_interpolation,vector_path_interpolation
420.0,0.195323652,0.079404933,0.648564942,vector_path_interpolation,vector_path_interpolation,vector_path_interpolation
440.0,0.094885183,0.071520073,0.806514225,vector_path_interpolation,vector_path_interpolation,vector_path_interpolation
460.0,0.044881525,0.109434715,0.765328756,vector_path_interpolation,vector_path_interpolation,vector_path_interpolation
480.0,0.031170504,0.254439815,0.525714581,vector_path_interpolation,vector_path_interpolation,vector_path_interpolation
500.0,0.032172351,0.514407140,0.262927188,vector_path_interpolation,vector_path_interpolation,vector_path_interpolation
520.0,0.049863514,0.761590185,0.109263715,vector_path_interpolation,vector_path_interpolation,vector_path_interpolation
540.0,0.105840166,0.879163959,0.052007169,vector_path_interpolation,vector_path_interpolation,vector_path_interpolation
560.0,0.213893292,0.765058121,0.033233018,vector_path_interpolation,vector_path_interpolation,vector_path_interpolation
580.0,0.389043783,0.443087251,0.020307151,vector_path_interpolation,vector_path_interpolation,vector_path_interpolation
600.0,0.623398416,0.198476547,0.012430899,vector_path_interpolation,vector_path_interpolation,vector_path_interpolation
620.0,0.858639164,0.090320965,0.010472008,vector_path_interpolation,vector_path_interpolation,vector_path_interpolation
640.0,1.028987114,0.046990414,0.011449234,vector_path_interpolation,vector_path_interpolation,vector_path_interpolation
660.0,1.088300538,0.028276615,0.013434290,vector_path_interpolation,vector_path_interpolation,vector_path_interpolation
680.0,1.035624683,0.017431137,0.013434290,vector_path_interpolation,vector_path_interpolation,vector_path_interpolation
700.0,0.869457138,0.010455471,0.011443635,vector_path_interpolation,vector_path_interpolation,vector_path_interpolation
720.0,0.640988588,0.006516955,0.009486749,vector_path_interpolation,vector_path_interpolation,vector_path_interpolation
740.0,0.416546058,0.004545487,0.008493237,vector_path_interpolation,vector_path_interpolation,vector_path_interpolation
760.0,0.221693575,0.002589741,0.004536232,inferred_terminal_secant_clipped_at_zero,inferred_terminal_secant_clipped_at_zero,inferred_terminal_secant_clipped_at_zero
780.0,0.028787283,0.000633995,0.000564097,inferred_terminal_secant_clipped_at_zero,inferred_terminal_secant_clipped_at_zero,inferred_terminal_secant_clipped_at_zero
