wavelength_nm,cyan_log_sensitivity,magenta_log_sensitivity,yellow_log_sensitivity,cyan_evidence_class,magenta_evidence_class,yellow_evidence_class
380.0,-0.921714030,-0.930533233,-0.105210154,vector_path_interpolation,vector_path_interpolation,vector_path_interpolation
400.0,-2.997662396,-6.000000000,-0.356335887,vector_path_interpolation,explicit_below_graph_floor_log10_-6,vector_path_interpolation
420.0,-6.000000000,-6.000000000,-0.129388958,explicit_below_graph_floor_log10_-6,explicit_below_graph_floor_log10_-6,vector_path_interpolation
440.0,-6.000000000,-6.000000000,0.182001742,explicit_below_graph_floor_log10_-6,explicit_below_graph_floor_log10_-6,vector_path_interpolation
460.0,-6.000000000,-1.605484481,0.588503459,explicit_below_graph_floor_log10_-6,vector_path_interpolation,vector_path_interpolation
480.0,-6.000000000,-1.308183582,0.038205939,explicit_below_graph_floor_log10_-6,vector_path_interpolation,vector_path_interpolation
500.0,-6.000000000,-0.992082907,-1.891815083,explicit_below_graph_floor_log10_-6,vector_path_interpolation,vector_path_interpolation
520.0,-6.000000000,-0.916299887,-6.000000000,explicit_below_graph_floor_log10_-6,vector_path_interpolation,explicit_below_graph_floor_log10_-6
540.0,-6.000000000,-0.591700114,-6.000000000,explicit_below_graph_floor_log10_-6,vector_path_interpolation,explicit_below_graph_floor_log10_-6
560.0,-6.000000000,-0.740709220,-6.000000000,explicit_below_graph_floor_log10_-6,vector_path_interpolation,explicit_below_graph_floor_log10_-6
580.0,-6.000000000,-1.763983056,-6.000000000,explicit_below_graph_floor_log10_-6,vector_path_interpolation,explicit_below_graph_floor_log10_-6
600.0,-2.359462712,-6.000000000,-6.000000000,vector_path_interpolation,explicit_below_graph_floor_log10_-6,explicit_below_graph_floor_log10_-6
620.0,-2.025858157,-6.000000000,-6.000000000,vector_path_interpolation,explicit_below_graph_floor_log10_-6,explicit_below_graph_floor_log10_-6
640.0,-1.779763144,-6.000000000,-6.000000000,vector_path_interpolation,explicit_below_graph_floor_log10_-6,explicit_below_graph_floor_log10_-6
660.0,-1.654094336,-6.000000000,-6.000000000,vector_path_interpolation,explicit_below_graph_floor_log10_-6,explicit_below_graph_floor_log10_-6
680.0,-1.219703999,-6.000000000,-6.000000000,vector_path_interpolation,explicit_below_graph_floor_log10_-6,explicit_below_graph_floor_log10_-6
700.0,-1.123127591,-6.000000000,-6.000000000,vector_path_interpolation,explicit_below_graph_floor_log10_-6,explicit_below_graph_floor_log10_-6
720.0,-1.883685951,-6.000000000,-6.000000000,vector_path_interpolation,explicit_below_graph_floor_log10_-6,explicit_below_graph_floor_log10_-6
740.0,-6.000000000,-6.000000000,-6.000000000,explicit_below_graph_floor_log10_-6,explicit_below_graph_floor_log10_-6,explicit_below_graph_floor_log10_-6
760.0,-6.000000000,-6.000000000,-6.000000000,explicit_below_graph_floor_log10_-6,explicit_below_graph_floor_log10_-6,explicit_below_graph_floor_log10_-6
780.0,-6.000000000,-6.000000000,-6.000000000,explicit_below_graph_floor_log10_-6,explicit_below_graph_floor_log10_-6,explicit_below_graph_floor_log10_-6
