wavelength_nm,visual_neutral_density,evidence_class
380.0,0.736292874,vector_path_interpolation
400.0,0.844362965,vector_path_interpolation
420.0,1.030493648,vector_path_interpolation
440.0,1.082170873,vector_path_interpolation
460.0,1.002125344,vector_path_interpolation
480.0,0.886019833,vector_path_interpolation
500.0,0.886162420,vector_path_interpolation
520.0,1.000361156,vector_path_interpolation
540.0,1.112713767,vector_path_interpolation
560.0,1.084035201,vector_path_interpolation
580.0,0.918239471,vector_path_interpolation
600.0,0.900137444,vector_path_interpolation
620.0,1.030208724,vector_path_interpolation
640.0,1.163135455,vector_path_interpolation
660.0,1.203733389,vector_path_interpolation
680.0,1.137286583,vector_path_interpolation
700.0,0.954227002,vector_path_interpolation
720.0,0.716874974,vector_path_interpolation
740.0,0.483607554,vector_path_interpolation
760.0,0.290872391,inferred_terminal_secant_clipped_at_zero
780.0,0.102200739,inferred_terminal_secant_clipped_at_zero
