log_exposure,red_status_m_density,green_status_m_density,blue_status_m_density,evidence_class
-4.000000,0.1589664,0.5950253,0.9253015,inferred_dmin_hold_before_drawn_path
-3.795937,0.1589664,0.5950253,0.9253015,vector_path_start
-3.750000,0.1599553,0.5955216,0.9257941,vector_path_interpolation
-3.500000,0.1653767,0.5992579,0.9295179,vector_path_interpolation
-3.250000,0.1791778,0.6097326,0.9400236,vector_path_interpolation
-3.000000,0.2034883,0.6395163,0.9697940,vector_path_interpolation
-2.750000,0.2798613,0.7264678,1.0567439,vector_path_interpolation
-2.500000,0.4045004,0.8682558,1.2006632,vector_path_interpolation
-2.250000,0.5369801,1.0200540,1.3515267,vector_path_interpolation
-2.000000,0.6696922,1.1722014,1.5046250,vector_path_interpolation
-1.750000,0.8031971,1.3236481,1.6543876,vector_path_interpolation
-1.500000,0.9391702,1.4772975,1.8107150,vector_path_interpolation
-1.250000,1.0708890,1.6294172,1.9630531,vector_path_interpolation
-1.000000,1.1960587,1.7719997,2.1065841,vector_path_interpolation
-0.750000,1.3128646,1.9051163,2.2396944,vector_path_interpolation
-0.500000,1.4198447,2.0261705,2.3607723,vector_path_interpolation
-0.250000,1.5066094,2.1225665,2.4605023,vector_path_interpolation
0.000000,1.5841743,2.2142119,2.5488544,vector_path_interpolation
0.500000,1.7241743,2.3742119,2.6688544,inferred_archive_shoulder_increment
1.000000,1.8041743,2.4642119,2.7288544,inferred_archive_shoulder_increment
