wavelength_nm,cyan_net_density,magenta_net_density,yellow_net_density,minimum_density,midscale_neutral_density
380,0.2739296,0.0836895,0.2849829,0.8507759,1.2363007
400,0.2126315,0.0517756,0.4649588,0.7583310,1.2306539
420,0.1095180,0.0242712,0.7615403,0.8091010,1.4379503
440,0.0374840,-0.0024237,0.9829948,0.9223479,1.6565876
460,0.0075843,0.0228642,0.9546835,0.8884793,1.6087642
480,-0.0015856,0.2047608,0.6657021,0.8299631,1.4482789
500,0.0019816,0.5179682,0.3767965,0.7581589,1.3593669
520,0.0153421,0.8284701,0.2215723,0.7016539,1.3760274
540,0.0618078,1.0037871,0.1566497,0.5477439,1.3090115
560,0.1443314,0.8785778,0.1090669,0.5289311,1.2082634
580,0.2419390,0.5767580,0.0615618,0.5063680,1.0054115
600,0.4364387,0.3795864,0.0300416,0.2674901,0.7275922
620,0.6310012,0.3057750,0.0167037,0.1787179,0.6861574
640,0.8026121,0.2917743,0.0108627,0.1594032,0.7293788
660,0.9335714,0.2972470,0.0081165,0.1507880,0.7747391
680,1.0041634,0.3002279,0.0052692,0.1423273,0.7916092
700,0.9783076,0.2894932,0.0066305,0.1339343,0.7660160
720,0.8438800,0.2547847,0.0052089,0.1254797,0.6812241
740,0.6368829,0.2022283,0.0052089,0.1141805,0.5537515
760,0.4225931,0.1431710,0.0051052,0.1014605,0.4087358
780,0.2479485,0.0889471,0.0038586,0.0899573,0.2772953
