channel,wavelength_nm,log10_spectral_product
blue,410,2.103
blue,420,4.111
blue,430,4.632
blue,440,4.871
blue,450,5.000
blue,460,4.955
blue,470,4.743
blue,480,4.343
blue,490,3.743
blue,500,2.990
blue,510,1.852
green,470,1.152
green,480,2.207
green,490,3.156
green,500,3.804
green,510,4.272
green,520,4.626
green,530,4.872
green,540,5.000
green,550,4.995
green,560,4.818
green,570,4.458
green,580,3.915
green,590,3.172
green,600,2.239
green,610,1.070
red,620,2.109
red,630,4.479
red,640,5.000
red,650,4.899
red,660,4.578
red,670,4.252
red,680,3.875
red,690,3.491
red,700,3.099
red,710,2.687
red,720,2.269
red,730,1.859
red,740,1.449
red,750,1.054
red,760,0.654
red,770,0.254
